序号,传输方向,时间标识,帧ID,帧格式,帧类型,数据长度,数据(HEX)
64,接收,14:56:39.582.0,0x1c010200,数据帧,扩展帧,0x08,3a d5 00 28 0e f9 00 00 
65,接收,14:56:40.581.0,0x1c010100,数据帧,扩展帧,0x08,3a 86 00 00 0e ba 00 00 
66,接收,14:56:40.581.0,0x1c010200,数据帧,扩展帧,0x08,38 16 00 00 0f 5d 00 00 
67,接收,14:56:41.583.0,0x1c010100,数据帧,扩展帧,0x08,3a 86 00 00 0e ba 00 00 
68,接收,14:56:41.583.0,0x1c010200,数据帧,扩展帧,0x08,39 08 00 00 0f 51 00 00 
69,接收,14:56:42.582.0,0x1c010100,数据帧,扩展帧,0x08,3a 91 00 00 0e af 00 00 
70,接收,14:56:42.582.0,0x1c010200,数据帧,扩展帧,0x08,3a a5 00 28 0f 20 00 00 
71,接收,14:56:43.583.0,0x1c010100,数据帧,扩展帧,0x08,3a 84 00 00 0e bc 00 00 
72,接收,14:56:43.583.0,0x1c010200,数据帧,扩展帧,0x08,39 5c 00 28 0f 21 00 00 
73,接收,14:56:44.582.0,0x1c010100,数据帧,扩展帧,0x08,3a 82 00 00 0e b5 00 00 
74,接收,14:56:44.582.0,0x1c010200,数据帧,扩展帧,0x08,3b d1 00 00 0f 8b 00 00 
75,接收,14:56:45.580.0,0x1c010100,数据帧,扩展帧,0x08,3a 86 00 00 0e ba 00 00 
76,接收,14:56:45.580.0,0x1c010200,数据帧,扩展帧,0x08,3a 71 00 28 0e f2 00 00 
77,接收,14:56:46.578.0,0x1c010100,数据帧,扩展帧,0x08,3a 7b 00 00 0e bc 00 00 
78,接收,14:56:46.578.0,0x1c010200,数据帧,扩展帧,0x08,3b d1 00 00 0f 8b 00 00 
79,接收,14:56:47.586.0,0x1c010100,数据帧,扩展帧,0x08,3a 69 00 00 0e bc 00 00 
80,接收,14:56:47.586.0,0x1c010200,数据帧,扩展帧,0x08,38 7d 00 00 0f 4e 00 00 
81,接收,14:56:48.584.0,0x1c010100,数据帧,扩展帧,0x08,3a 84 00 00 0e bc 00 00 
82,接收,14:56:48.584.0,0x1c010200,数据帧,扩展帧,0x08,38 e5 00 00 0f 6b 00 00 
83,接收,14:56:49.582.0,0x1c010100,数据帧,扩展帧,0x08,3a 84 00 00 0e bc 00 00 
84,接收,14:56:49.582.0,0x1c010200,数据帧,扩展帧,0x08,3c 37 00 00 0f 98 00 00 
85,接收,14:56:50.581.0,0x1c010100,数据帧,扩展帧,0x08,3a 84 00 00 0e bc 00 00 
86,接收,14:56:50.581.0,0x1c010200,数据帧,扩展帧,0x08,38 e5 00 00 0f 48 00 00 
87,接收,14:56:51.579.0,0x1c010100,数据帧,扩展帧,0x08,3a 84 00 00 0e bc 00 00 
88,接收,14:56:51.595.0,0x1c010200,数据帧,扩展帧,0x08,3c 3f 00 00 0f 38 00 00 
89,接收,14:56:52.578.0,0x1c010100,数据帧,扩展帧,0x08,3a 89 00 00 0e b7 00 00 
90,接收,14:56:52.593.0,0x1c010200,数据帧,扩展帧,0x08,3b 41 00 28 0f 23 00 00 
91,接收,14:56:53.576.0,0x1c010100,数据帧,扩展帧,0x08,3a 7d 00 00 0e ba 00 00 
92,接收,14:56:53.592.0,0x1c010200,数据帧,扩展帧,0x08,39 d3 00 00 0f a2 00 00 
93,接收,14:56:54.574.0,0x1c010100,数据帧,扩展帧,0x08,3a 81 00 00 0e ad 00 00 
94,接收,14:56:54.590.0,0x1c010200,数据帧,扩展帧,0x08,38 d0 00 28 0f 04 00 00 
95,接收,14:56:55.588.0,0x1c010100,数据帧,扩展帧,0x08,3a 7a 00 00 0e bd 00 00 
96,接收,14:56:55.588.0,0x1c010200,数据帧,扩展帧,0x08,38 c8 00 00 0f 65 00 00 
97,接收,14:56:56.587.0,0x1c010100,数据帧,扩展帧,0x08,3a 97 00 00 0e a8 00 00 
98,接收,14:56:56.602.0,0x1c010200,数据帧,扩展帧,0x08,3a dd 00 00 0f d7 00 00 
99,接收,14:56:57.585.0,0x1c010100,数据帧,扩展帧,0x08,3a 84 00 00 0e bc 00 00 
100,接收,14:56:57.601.0,0x1c010200,数据帧,扩展帧,0x08,3a 69 00 00 0f bd 00 00 
101,接收,14:56:58.584.0,0x1c010100,数据帧,扩展帧,0x08,3a 86 00 00 0e ba 00 00 
102,接收,14:56:58.599.0,0x1c010200,数据帧,扩展帧,0x08,3b 04 00 00 0f b9 00 00 
103,接收,14:56:59.582.0,0x1c010100,数据帧,扩展帧,0x08,3a 7b 00 00 0e bc 00 00 
104,接收,14:56:59.598.0,0x1c010200,数据帧,扩展帧,0x08,38 d5 00 00 0f 6a 00 00 
105,接收,14:57:00.580.0,0x1c010100,数据帧,扩展帧,0x08,3a 84 00 00 0e bc 00 00 
106,接收,14:57:00.596.0,0x1c010200,数据帧,扩展帧,0x08,3b 8e 00 00 0f c5 00 00 
107,接收,14:57:01.579.0,0x1c010100,数据帧,扩展帧,0x08,3a 8c 00 00 0e b4 00 00 
108,接收,14:57:01.594.0,0x1c010200,数据帧,扩展帧,0x08,39 af 00 28 0f 0c 00 00 
109,接收,14:57:02.577.0,0x1c010100,数据帧,扩展帧,0x08,3a 7d 00 00 0e ba 00 00 
110,接收,14:57:02.608.0,0x1c010200,数据帧,扩展帧,0x08,38 84 00 28 0f 3e 00 00 
111,接收,14:57:03.576.0,0x1c010100,数据帧,扩展帧,0x08,3a 84 00 00 0e bc 00 00 
112,接收,14:57:03.607.0,0x1c010200,数据帧,扩展帧,0x08,3a ff 00 28 0f 1e 00 00 
113,接收,14:57:04.590.0,0x1c010100,数据帧,扩展帧,0x08,3a 8d 00 00 0e bc 00 00 
114,接收,14:57:04.605.0,0x1c010200,数据帧,扩展帧,0x08,38 70 00 00 0f 5b 00 00 
115,接收,14:57:05.588.0,0x1c010100,数据帧,扩展帧,0x08,3a 8e 00 00 0e ba 00 00 
116,接收,14:57:05.604.0,0x1c010200,数据帧,扩展帧,0x08,39 45 00 00 0f 7f 00 00 
117,接收,14:57:06.586.0,0x1c010100,数据帧,扩展帧,0x08,3a 7b 00 00 0e bc 00 00 
118,接收,14:57:06.602.0,0x1c010200,数据帧,扩展帧,0x08,39 2b 00 00 0f 87 00 00 
119,接收,14:57:07.585.0,0x1c010100,数据帧,扩展帧,0x08,3a 7b 00 00 0e bc 00 00 
120,接收,14:57:07.616.0,0x1c010200,数据帧,扩展帧,0x08,38 67 00 00 0f 5b 00 00 
121,接收,14:57:08.583.0,0x1c010100,数据帧,扩展帧,0x08,3a 86 00 00 0e ba 00 00 
122,接收,14:57:08.614.0,0x1c010200,数据帧,扩展帧,0x08,38 68 00 00 0f 40 00 00 
123,接收,14:57:09.582.0,0x1c010100,数据帧,扩展帧,0x08,3a 82 00 00 0e bd 00 00 
124,接收,14:57:09.613.0,0x1c010200,数据帧,扩展帧,0x08,3b c6 00 28 0f 23 00 00 
125,接收,14:57:10.580.0,0x1c010100,数据帧,扩展帧,0x08,3a 84 00 00 0e bc 00 00 
126,接收,14:57:10.611.0,0x1c010200,数据帧,扩展帧,0x08,3b 40 00 28 0e ef 00 00 
127,接收,14:57:11.578.0,0x1c010100,数据帧,扩展帧,0x08,3a 96 00 00 0e aa 00 00 
128,接收,14:57:11.610.0,0x1c010200,数据帧,扩展帧,0x08,38 d7 00 00 0f 82 00 00 
129,接收,14:57:12.577.0,0x1c010100,数据帧,扩展帧,0x08,3a 86 00 00 0e ba 00 00 
130,接收,14:57:12.624.0,0x1c010200,数据帧,扩展帧,0x08,39 e7 00 28 0f 09 00 00 
131,接收,14:57:13.591.0,0x1c010100,数据帧,扩展帧,0x08,3a 84 00 00 0e bc 00 00 
132,接收,14:57:13.622.0,0x1c010200,数据帧,扩展帧,0x08,3c 11 00 00 0f 39 00 00 
133,接收,14:57:14.589.0,0x1c010100,数据帧,扩展帧,0x08,3a 82 00 00 0e b5 00 00 
134,接收,14:57:14.623.0,0x1c010200,数据帧,扩展帧,0x08,3b c7 00 28 0f 2b 00 00 
